movie_title,cast and crew,Genre,vote_average,vote_count,comb
moms' night out,sarah drew sean astin patricia heaton logan white robert amaya  jon erwin,comedy,5.5,121,sarah drew sean astin patricia heaton logan white robert amaya  jon erwin comedy
donnie darko,jake gyllenhaal jena malone patrick swayze maggie gyllenhaal drew barrymore richard kelly,fantasy drama mystery,7.7,3452,jake gyllenhaal jena malone patrick swayze maggie gyllenhaal drew barrymore richard kelly fantasy drama mystery
salvando al soldado perez,joaqu\u00edn cosio gerardo taracena jaime camil miguel rodarte jes\u00fas ochoa beto g\u00f3mez,action comedy foreign,6.1,18,joaqu\u00edn cosio gerardo taracena jaime camil miguel rodarte jes\u00fas ochoa beto g\u00f3mez action comedy foreign
karakter,jan decleir fedja van hu\u00eat betty schuurman tamar van den dop mike van diem,drama foreign history,7.7,25,jan decleir fedja van hu\u00eat betty schuurman tamar van den dop mike van diem drama foreign history
spun,jason schwartzman mickey rourke brittany murphy john leguizamo chloe hunter jonas \u00c5kerlund,comedy crime drama,6.6,132,jason schwartzman mickey rourke brittany murphy john leguizamo chloe hunter jonas \u00c5kerlund comedy crime drama
life during wartime,ally sheedy paul reubens shirley henderson allison janney michael kenneth williams todd solondz,comedy drama,6.3,30,ally sheedy paul reubens shirley henderson allison janney michael kenneth williams todd solondz comedy drama
친절한 금자씨,choi min-sik lee young-ae kwon yea-young go soo-hee kim bu-seon park chan-wook,drama thriller,7.4,356,choi min-sik lee young-ae kwon yea-young go soo-hee kim bu-seon park chan-wook drama thriller
"nannerl, la soeur de mozart",marie f\u00e9ret marc barb\u00e9 delphine chuillot david moreau ren\u00e9 f\u00e9ret,drama,6.2,13,marie f\u00e9ret marc barb\u00e9 delphine chuillot david moreau ren\u00e9 f\u00e9ret drama
mean machine,vinnie jones david kelly david hemmings ralph brown vas blackwood barry skolnick,comedy drama,6,157,vinnie jones david kelly david hemmings ralph brown vas blackwood barry skolnick comedy drama
放‧逐,anthony wong francis ng simon yam nick cheung richie ren johnnie to,action crime thriller,7,46,anthony wong francis ng simon yam nick cheung richie ren johnnie to action crime thriller
blackthorn,sam shepard magaly solier eduardo noriega stephen rea daniel aguirre mateo gil,adventure action western,6.6,73,sam shepard magaly solier eduardo noriega stephen rea daniel aguirre mateo gil adventure action western
lilja 4-ever,oksana akinshina artyom bogucharsky lyubov agapova liliya shinkaryova elina benenson lukas moodysson,crime drama,7.7,139,oksana akinshina artyom bogucharsky lyubov agapova liliya shinkaryova elina benenson lukas moodysson crime drama
after.life,liam neeson justin long christina ricci josh charles chandler canterbury agnieszka wojtowicz-vosloo,drama horror mystery thriller,5.4,251,liam neeson justin long christina ricci josh charles chandler canterbury agnieszka wojtowicz-vosloo drama horror mystery thriller
fugly,jimmy shergill mohit marwah kiara advani vijendar singh arfi lamba kabir sadanand,comedy drama thriller,5.3,2,jimmy shergill mohit marwah kiara advani vijendar singh arfi lamba kabir sadanand comedy drama thriller
one flew over the cuckoo's nest,jack nicholson louise fletcher danny devito william redfield scatman crothers milo\u0161 forman,drama,8.2,2919,jack nicholson louise fletcher danny devito william redfield scatman crothers milo\u0161 forman drama
r.l. stine's monsterville: the cabinet of souls,dove cameron katherine mcnamara ryan mccartan laine macneil briana buckmaster peter deluise,comedy horror,6.9,35,dove cameron katherine mcnamara ryan mccartan laine macneil briana buckmaster peter deluise comedy horror
silent movie,mel brooks marty feldman dom deluise sid caesar harold gould mel brooks,comedy,6.7,78,mel brooks marty feldman dom deluise sid caesar harold gould mel brooks comedy
airlift,akshay kumar nimrat kaur feryna wazheir lena purab kohli raja menon,thriller action drama history,7.3,57,akshay kumar nimrat kaur feryna wazheir lena purab kohli raja menon thriller action drama history
anne of green gables,megan follows colleen dewhurst richard farnsworth patricia hamilton marilyn lightstone kevin sullivan,drama family,8.2,68,megan follows colleen dewhurst richard farnsworth patricia hamilton marilyn lightstone kevin sullivan drama family
falcon rising,michael jai white neal mcdonough lateef crowder laila ali hazuki kato ernie barbarash,adventure action,5.5,71,michael jai white neal mcdonough lateef crowder laila ali hazuki kato ernie barbarash adventure action
the sweeney,ray winstone ben drew hayley atwell damian lewis alan ford nick love,action drama crime,5.7,109,ray winstone ben drew hayley atwell damian lewis alan ford nick love action drama crime
sexy beast,ray winstone ben kingsley ian mcshane amanda redman james fox jonathan glazer,crime drama thriller,7,217,ray winstone ben kingsley ian mcshane amanda redman james fox jonathan glazer crime drama thriller
snabba cash,joel kinnaman matias varela dragomir mrsic lisa henni mahmut suvakci daniel espinosa,drama thriller crime,6.5,63,joel kinnaman matias varela dragomir mrsic lisa henni mahmut suvakci daniel espinosa drama thriller crime
whale rider,keisha castle-hughes rawiri paratene vicky haughton cliff curtis grant roa niki caro,drama family,7.1,111,keisha castle-hughes rawiri paratene vicky haughton cliff curtis grant roa niki caro drama family
paa,amitabh bachchan abhishek bachchan vidya balan paresh rawal arundathi nag  ,drama family foreign,6.6,19,amitabh bachchan abhishek bachchan vidya balan paresh rawal arundathi nag   drama family foreign
cargo,martin rapold anna-katharina schwabroh regula grauwiller yangzom brauen michael finger ivan engler,thriller mystery science fiction,5.9,140,martin rapold anna-katharina schwabroh regula grauwiller yangzom brauen michael finger ivan engler thriller mystery science fiction
high school musical,zac efron vanessa hudgens ashley tisdale lucas grabeel corbin bleu kenny ortega,comedy drama family music tv movie,6.1,1000,zac efron vanessa hudgens ashley tisdale lucas grabeel corbin bleu kenny ortega comedy drama family music tv movie
love and death on long island,john hurt jason priestley sheila hancock maury chaykin fiona loewi richard kwietniowski,drama romance foreign,6.9,11,john hurt jason priestley sheila hancock maury chaykin fiona loewi richard kwietniowski drama romance foreign
